scenario,seed,model,acc,fit,pred,arity,n_features,noise
5-way XOR / 16 feat,13,GradientBoosting(300),0.509,12.724785625003278,0.006602374836802483,5,16,0.0
5-way XOR / 16 feat,13,XGBoost(500),0.511,1.0852198749780655,0.00284212501719594,5,16,0.0
5-way XOR / 16 feat,13,MLP(256-128-64),0.5845,10.693370083812624,0.0017548752948641777,5,16,0.0
5-way XOR / 16 feat,13,"SVM(poly,d=6)",0.4895,0.6068204171024263,0.13009600015357137,5,16,0.0
5-way XOR / 16 feat,13,WSRF,0.9705,6.90064762532711,0.03233208414167166,5,16,0.0
5-way XOR / 16 feat,31,LogisticRegression,0.499,0.013342458289116621,0.0001705419272184372,5,16,0.0
5-way XOR / 16 feat,31,RandomForest(500),0.506,2.036562125198543,0.05266095930710435,5,16,0.0
5-way XOR / 16 feat,31,GradientBoosting(300),0.505,12.727025541942567,0.006017749663442373,5,16,0.0
5-way XOR / 16 feat,31,XGBoost(500),0.506,1.0610021250322461,0.0030584167689085007,5,16,0.0
5-way XOR / 16 feat,31,MLP(256-128-64),0.5445,11.250277666840702,0.0016621253453195095,5,16,0.0
5-way XOR / 16 feat,31,"SVM(poly,d=6)",0.513,0.6219370001927018,0.1312216673977673,5,16,0.0
5-way XOR / 16 feat,31,WSRF,0.972,6.9338766247965395,0.07029412500560284,5,16,0.0
5-way XOR / 16 feat,47,LogisticRegression,0.509,0.9196123341098428,0.0002009999006986618,5,16,0.0
5-way XOR / 16 feat,47,RandomForest(500),0.5135,2.2533232499845326,0.048090250231325626,5,16,0.0
5-way XOR / 16 feat,47,GradientBoosting(300),0.522,12.808995999861509,0.006232624873518944,5,16,0.0
5-way XOR / 16 feat,47,XGBoost(500),0.499,1.1048277919180691,0.00281120790168643,5,16,0.0
5-way XOR / 16 feat,47,MLP(256-128-64),0.541,11.393773208837956,0.0017150407657027245,5,16,0.0
5-way XOR / 16 feat,47,"SVM(poly,d=6)",0.502,0.6126271658577025,0.13168983301147819,5,16,0.0
5-way XOR / 16 feat,47,WSRF,0.852,6.406578542198986,0.15613270783796906,5,16,0.0
5-way XOR / 16 feat,59,LogisticRegression,0.5105,0.0112188751809299,0.0001405416987836361,5,16,0.0
5-way XOR / 16 feat,59,RandomForest(500),0.499,2.366998333018273,0.05012879194691777,5,16,0.0
5-way XOR / 16 feat,59,GradientBoosting(300),0.5015,12.946137540973723,0.005737749859690666,5,16,0.0
5-way XOR / 16 feat,59,XGBoost(500),0.5195,1.1100158332847059,0.0029467912390828133,5,16,0.0
5-way XOR / 16 feat,59,MLP(256-128-64),0.575,10.804773416370153,0.0016410001553595066,5,16,0.0
5-way XOR / 16 feat,59,"SVM(poly,d=6)",0.492,0.6087269173003733,0.13151679188013077,5,16,0.0
5-way XOR / 16 feat,59,WSRF,0.979,6.629458208102733,0.06844304222613573,5,16,0.0
5-way XOR / 16 feat,71,LogisticRegression,0.5,0.013382707722485065,0.00017704209312796593,5,16,0.0
5-way XOR / 16 feat,71,RandomForest(500),0.5215,2.1750960829667747,0.05259562470018864,5,16,0.0
5-way XOR / 16 feat,71,GradientBoosting(300),0.4925,12.853824957739562,0.006246957927942276,5,16,0.0
5-way XOR / 16 feat,71,XGBoost(500),0.534,1.1055266251787543,0.002962999977171421,5,16,0.0
5-way XOR / 16 feat,71,MLP(256-128-64),0.5715,10.995040208101273,0.001662291120737791,5,16,0.0
5-way XOR / 16 feat,71,"SVM(poly,d=6)",0.52,0.6221983749419451,0.13223324995487928,5,16,0.0
5-way XOR / 16 feat,71,WSRF,0.919,6.31685808300972,0.1328467088751495,5,16,0.0
6-way XOR / 20 feat,13,LogisticRegression,0.5025,0.045130208134651184,0.0004971246235072613,6,20,0.0
6-way XOR / 20 feat,13,RandomForest(500),0.498,2.1489547500386834,0.05307629192247987,6,20,0.0
6-way XOR / 20 feat,13,GradientBoosting(300),0.497,16.88533870782703,0.006163416896015406,6,20,0.0
6-way XOR / 20 feat,13,XGBoost(500),0.4975,1.1171861658804119,0.002867666073143482,6,20,0.0
6-way XOR / 20 feat,13,MLP(256-128-64),0.5005,9.037689290940762,0.0018903748132288456,6,20,0.0
6-way XOR / 20 feat,13,"SVM(poly,d=6)",0.4965,0.6490581659600139,0.13712024968117476,6,20,0.0
6-way XOR / 20 feat,13,WSRF,0.7665,14.868935208301991,1.288279457949102,6,20,0.0
6-way XOR / 20 feat,31,LogisticRegression,0.495,0.02500766608864069,0.00045395921915769577,6,20,0.0
6-way XOR / 20 feat,31,RandomForest(500),0.482,2.1026997920125723,0.05102366674691439,6,20,0.0
6-way XOR / 20 feat,31,GradientBoosting(300),0.48,15.866801375057548,0.007077583111822605,6,20,0.0
6-way XOR / 20 feat,31,XGBoost(500),0.4995,1.0793955842964351,0.0027442919090390205,6,20,0.0
6-way XOR / 20 feat,31,MLP(256-128-64),0.5025,8.96726291719824,0.0016669589094817638,6,20,0.0
6-way XOR / 20 feat,31,"SVM(poly,d=6)",0.4995,0.6504629999399185,0.1359194591641426,6,20,0.0
6-way XOR / 20 feat,31,WSRF,0.7915,10.693374207708985,0.801940165925771,6,20,0.0
6-way XOR / 20 feat,47,LogisticRegression,0.5095,0.01593633322045207,0.00046849995851516724,6,20,0.0
6-way XOR / 20 feat,47,RandomForest(500),0.51,2.141235833056271,0.049388875253498554,6,20,0.0
6-way XOR / 20 feat,47,GradientBoosting(300),0.4975,15.864210499916226,0.006362417247146368,6,20,0.0
6-way XOR / 20 feat,47,XGBoost(500),0.4925,1.0928006251342595,0.0030447919853031635,6,20,0.0
6-way XOR / 20 feat,47,MLP(256-128-64),0.4905,8.796567416284233,0.001838624943047762,6,20,0.0
6-way XOR / 20 feat,47,"SVM(poly,d=6)",0.499,0.646120292134583,0.1369581245817244,6,20,0.0
6-way XOR / 20 feat,47,WSRF,0.793,13.032355790957808,1.7461745417676866,6,20,0.0
6-way XOR / 20 feat,59,LogisticRegression,0.487,0.011617499869316816,0.00014141714200377464,6,20,0.0
6-way XOR / 20 feat,59,RandomForest(500),0.5035,1.9670976670458913,0.0518588749691844,6,20,0.0
6-way XOR / 20 feat,59,GradientBoosting(300),0.486,15.874408875126392,0.006103333085775375,6,20,0.0
6-way XOR / 20 feat,59,XGBoost(500),0.4885,1.0925974999554455,0.0026680422015488148,6,20,0.0
6-way XOR / 20 feat,59,MLP(256-128-64),0.508,9.188482792116702,0.0016879159957170486,6,20,0.0
6-way XOR / 20 feat,59,"SVM(poly,d=6)",0.5215,0.6298219999298453,0.13604245893657207,6,20,0.0
6-way XOR / 20 feat,59,WSRF,0.8325,13.56884654192254,0.8003735831007361,6,20,0.0
6-way XOR / 20 feat,71,LogisticRegression,0.506,0.9198933327570558,0.0004981672391295433,6,20,0.0
6-way XOR / 20 feat,71,RandomForest(500),0.491,2.045899167191237,0.050117624923586845,6,20,0.0
6-way XOR / 20 feat,71,GradientBoosting(300),0.501,15.901802207808942,0.0062053329311311245,6,20,0.0
6-way XOR / 20 feat,71,XGBoost(500),0.514,1.121390167158097,0.0026112496852874756,6,20,0.0
6-way XOR / 20 feat,71,MLP(256-128-64),0.4885,9.668921916745603,0.0018527908250689507,6,20,0.0
6-way XOR / 20 feat,71,"SVM(poly,d=6)",0.491,0.6467257919721305,0.13584437500685453,6,20,0.0
6-way XOR / 20 feat,71,WSRF,0.8445,14.468760709278286,0.7650588750839233,6,20,0.0
7-way XOR / 22 feat,13,LogisticRegression,0.4885,1.08275325037539,0.0010403329506516457,7,22,0.0
7-way XOR / 22 feat,13,RandomForest(500),0.516,2.0003564581274986,0.04888345906510949,7,22,0.0
7-way XOR / 22 feat,13,GradientBoosting(300),0.5195,17.516822332981974,0.006117417011409998,7,22,0.0
7-way XOR / 22 feat,13,XGBoost(500),0.5095,1.117216665763408,0.00297895772382617,7,22,0.0
